category_large,대분류CID,category_medium,category_small
건강/취미,55890,스포츠/레저 기타,헬스/피트니스
건강/취미,55890,원예,걷기/육상스포츠
건강/취미,55890,원예,골프
건강/취미,55890,원예,글씨 쓰기
건강/취미,55890,원예,스티커북
건강/취미,55890,원예,컬러링북
건강/취미,55890,원예,낚시
건강/취미,55890,원예,다이어트
건강/취미,55890,원예,대체의학
건강/취미,55890,원예,등산/캠핑
건강/취미,55890,원예,무예/무술
건강/취미,55890,원예,바둑/장기
건강/취미,55890,원예,반려동물
건강/취미,55890,원예,수영/수상스포츠
건강/취미,55890,원예,꽃꽂이
건강/취미,55890,원예,채소재배
건강/취미,55890,원예,화훼
건강/취미,55890,원예,재난/생존/서바이벌
건강/취미,55890,원예,정신건강
건강/취미,55890,원예,퍼즐/스도쿠/퀴즈
건강/취미,55890,원예,한의학
건강/취미,55890,원예,헬스/피트니스
건강/취미,55890,재난/생존/서바이벌,걷기/육상스포츠
건강/취미,55890,재난/생존/서바이벌,골프
건강/취미,55890,재난/생존/서바이벌,글씨 쓰기
건강/취미,55890,재난/생존/서바이벌,스티커북
건강/취미,55890,재난/생존/서바이벌,컬러링북
건강/취미,55890,재난/생존/서바이벌,낚시
건강/취미,55890,재난/생존/서바이벌,다이어트
건강/취미,55890,재난/생존/서바이벌,대체의학
건강/취미,55890,재난/생존/서바이벌,등산/캠핑
건강/취미,55890,재난/생존/서바이벌,무예/무술
건강/취미,55890,재난/생존/서바이벌,바둑/장기
건강/취미,55890,재난/생존/서바이벌,반려동물
건강/취미,55890,재난/생존/서바이벌,수영/수상스포츠
건강/취미,55890,재난/생존/서바이벌,재난/생존/서바이벌
건강/취미,55890,재난/생존/서바이벌,정신건강
건강/취미,55890,재난/생존/서바이벌,퍼즐/스도쿠/퀴즈
건강/취미,55890,재난/생존/서바이벌,한의학
건강/취미,55890,재난/생존/서바이벌,헬스/피트니스
건강/취미,55890,정신건강,걷기/육상스포츠
건강/취미,55890,정신건강,골프
건강/취미,55890,정신건강,글씨 쓰기
건강/취미,55890,정신건강,스티커북
건강/취미,55890,정신건강,컬러링북
건강/취미,55890,정신건강,낚시
건강/취미,55890,정신건강,다이어트
건강/취미,55890,정신건강,대체의학
건강/취미,55890,정신건강,등산/캠핑
건강/취미,55890,정신건강,무예/무술
건강/취미,55890,정신건강,바둑/장기
건강/취미,55890,정신건강,반려동물
건강/취미,55890,정신건강,수영/수상스포츠
건강/취미,55890,정신건강,재난/생존/서바이벌
건강/취미,55890,정신건강,정신건강
건강/취미,55890,정신건강,퍼즐/스도쿠/퀴즈
건강/취미,55890,정신건강,한의학
건강/취미,55890,정신건강,헬스/피트니스
건강/취미,55890,질병치료와 예방,걷기/육상스포츠
건강/취미,55890,질병치료와 예방,골프
건강/취미,55890,질병치료와 예방,글씨 쓰기
건강/취미,55890,질병치료와 예방,스티커북
건강/취미,55890,질병치료와 예방,컬러링북
건강/취미,55890,질병치료와 예방,낚시
건강/취미,55890,질병치료와 예방,다이어트
건강/취미,55890,질병치료와 예방,대체의학
건강/취미,55890,질병치료와 예방,등산/캠핑
건강/취미,55890,질병치료와 예방,무예/무술
건강/취미,55890,질병치료와 예방,바둑/장기
건강/취미,55890,질병치료와 예방,반려동물
건강/취미,55890,질병치료와 예방,수영/수상스포츠
건강/취미,55890,질병치료와 예방,재난/생존/서바이벌
건강/취미,55890,질병치료와 예방,정신건강
건강/취미,55890,질병치료와 예방,간
건강/취미,55890,질병치료와 예방,고혈압
건강/취미,55890,질병치료와 예방,금연/금주/약물중독
건강/취미,55890,질병치료와 예방,기타질병
건강/취미,55890,질병치료와 예방,눈/코/입/귀
건강/취미,55890,질병치료와 예방,당뇨병
건강/취미,55890,질병치료와 예방,변비/치질
건강/취미,55890,질병치료와 예방,비뇨기
건강/취미,55890,질병치료와 예방,심장병
건강/취미,55890,질병치료와 예방,암
건강/취미,55890,질병치료와 예방,위장병
건강/취미,55890,질병치료와 예방,정신질환
건강/취미,55890,질병치료와 예방,중풍과 치매
건강/취미,55890,질병치료와 예방,탈모
건강/취미,55890,질병치료와 예방,피부병
건강/취미,55890,질병치료와 예방,허리/디스크/척추/통증
건강/취미,55890,질병치료와 예방,퍼즐/스도쿠/퀴즈
건강/취미,55890,질병치료와 예방,한의학
건강/취미,55890,질병치료와 예방,헬스/피트니스
건강/취미,55890,취미기타,걷기/육상스포츠
건강/취미,55890,취미기타,골프
건강/취미,55890,취미기타,글씨 쓰기
건강/취미,55890,취미기타,스티커북
건강/취미,55890,취미기타,컬러링북
건강/취미,55890,취미기타,낚시
건강/취미,55890,취미기타,다이어트
건강/취미,55890,취미기타,대체의학
건강/취미,55890,취미기타,등산/캠핑
건강/취미,55890,취미기타,무예/무술
건강/취미,55890,취미기타,바둑/장기
건강/취미,55890,취미기타,반려동물
건강/취미,55890,취미기타,수영/수상스포츠
건강/취미,55890,취미기타,재난/생존/서바이벌
건강/취미,55890,취미기타,정신건강
건강/취미,55890,취미기타,기타
건강/취미,55890,취미기타,사진/비디오 촬영
건강/취미,55890,취미기타,상식
건강/취미,55890,취미기타,서예
건강/취미,55890,취미기타,퍼즐/스도쿠/퀴즈
건강/취미,55890,취미기타,한의학
건강/취미,55890,취미기타,헬스/피트니스
건강/취미,55890,퍼즐/스도쿠/퀴즈,걷기/육상스포츠
